WaterUseSurveyCode|WaterUseSurveyDescription
1103168|EAST CENTRAL SUD
1103171|GERDAU AMERISTEEL
1103195|CLWSC CANYON LAKE SHORES
1103198|CIWA
1103203|HAWK TRUCKING
1103206|PROSPECT OILFIELD SERVICES, LP
1103217|CAB FLANGE MANUFACTURING
1103220|CHAMPION TECHNOLOGIES INC.
1103222|LEE CONTAINERS
1103238|CADRE MATERIAL PRODUCTS
1103240|STOCKTON CHEMICAL
1103245|MARINA CLUB
1103246|TEXAS PARKS & WILDLIFE DEPARTMENT-JOHN D PARKER EAST TEXAS FISH HATCHERY
1103247|TERVITA
1103251|CHEVRON GLOBAL LUBRICANTS
1103255|US FOODSERVICE
1103256|ROBERT MULLER LTD
1103257|CITY OF CHANNELVIEW
1103260|FTS
1103264|GE OIL & GAS ESP, INC MIDLAND PLANT
1103283|CY FORECT
1101555|OTHER MANUFACTURING TERRELL COUNTY
1101572|OTHER MINING TYLER COUNTY
1101579|OTHER MANUFACTURING VAL VERDE COUNTY
1101623|OTHER MANUFACTURING YOUNG COUNTY
1101653|PROD SERV
1101656|HICKORY RIDGE
1101663|DOT
1101682|LITTLETON
1101684|TUBE FORMING
1101694|MCI TELECOMMUNICATIONS
1101695|DALLAS WATER UTILITIES
1101712|UNIFIRST HOLDING INC - BEXAR COUNTY
1101718|GEO CORRECTIONAL
1101720|HCMUD 397
1101727|CEDAR GROVE PARK
1101729|OSC
1101742|FEDERAL PRISON
1101773|FREEDMAN MEATS INC
1101777|HOLTZ CORPORATION
1101786|MESQUITE MEADOWS MHP
1101789|PECAN DELUXE CANDY CO
1101796|TAYLOR FARMS TEXAS INC
1101800|STEWART PENINSULA GOLF
1101803|TRAMMELL CROW COMPANY
1101808|HFB 5
1101829|SARA LEE BAKERY GROUP
1101844|SOUTHWEST EXCEL
1101857|REESE CENTER
1101862|MALCOMSON ROAD UD
1101874|GUM SPRINGS WSC-SYSTEM 2
1101876|A 1 UTILITY & CONSTRUCTION SERVICES INC-OAK HILL ESTATES WATER COMPANY
1101877|CROSSROADS UTILITY SERVICES-WILLIAMSON COUNTY MUD 11
1101887|AREA HOSPITALS
1101888|CITIGROUP PHASE I
1101896|EXXON MOBIL
1101897|FSLCI
1101898|FLUOR
1101902|GASLIGHT SQUARE MHE
1101908|ENERGEN RESOURCES
1101911|COG OPERATING
1101920|ROSANI FOODS INC
1101923|GREEN VALLEY FOODS INC
1101925|VETERANS ADMINISTRATION HOSPTIAL
1101927|ARC OF DALLAS
1101933|TWIN CREEK GOLF CLUB
1101947|DONNA IRRIGATION DISTRICT
1101955|QUICK LINE SRVICE
1101959|PINE COVE CONF CENTER
1101973|FORT BEND COUNTY MUD 57
1101975|Texas Steel Conversion, Inc.-TEXAS STEEL CONVERSION
1101988|KETTLE
1102027|INGRAM CONCRETE LLC-SNYDER PLANT
1102057|THE WOODLANDS WATER SYSTEM
1102068|WAGNER SERVICES-TIMBER OAKS CROSSING
1102075|WICKSON CREEK SUD-FIVE LAND WATER SYSTEM
1102089|CROSSROADS UTILITY SERVICES-SONTERRA MUD
1102093|LAUREL CANYON RANCH WATER SYSTEM
1102095|MOSCOW WSC 2
1102099|MUNICIPAL OPERATIONS & CONSULTING INC-SPRING CREEK UD
1102106|Texas Operations & Professional Services-WINTERHAVEN SUBDIVISON
1102108|Inframark-PASEO DEL ESTE MUD 1
1102147|WOODLAND SHORES SUBDIVISION
1102157|NORTH LAMAR ISD
1102168|REAGENS
1102176|KERNEY TRAILER
1102178|CALPHINE
1102185|SCHERTZ SEGUIN LOCAL GOVERNMENTAL CORP
1102190|ILLINOISE TOX WORK
1102191|BELLE OAKS WATER
1102200|TRAVIS COUNTY MUD 12
1102247|DON BROCK DISTRIBUTION
1102253|NORTH HARRIS COUNTY MUD 32
1102260|CINNAMON HILLS
1102268|CARDONE INDUSTRIES
1102270|REDDY ICE LTD CAMERON COUNTY
1102273|TIMBERLAKE UD
1102276|VERTIS COMPANY (ANGELIANA)
1102296|SARA LEE INTERNATIONAL BAKING
1102297|METROPLEX BARNETT SHALE LLC
1102307|METAL REHAB TECHNOLOGY
1102320|HUSEMAN BROTHERS
1102373|Utility Partners LLC-RIVER RANCH
1102401|HP ENTERPRISE SERVICE
1102402|WILLOWN BEND PLACE HOA INC
1102418|AQUA TEXAS INC-WALRAVEN SUBDIVISION
1102421|AQUA TEXAS INC-TIMBERLOCH ESTATES
1102424|AQUA TEXAS INC-SHADOW GROVE ESTATES
1102425|AQUA TEXAS INC-ROSEMEADOWS III
1102430|AQUA TEXAS INC-LAKES OF MISSION GROVE
1102438|AQUA TEXAS INC-GREENFIELD FOREST
1102457|EXXON CHEMICAL AMERICAS
1102458|HAYS COUNTY WCID 1
1102460|ROUND ROCK RANCH  PUD
1102462|GATEWAY  ESTATES III
1102470|CITY OF HEARNE HUMBLE ADDITION
1102475|DOUGLAS UTILITY COMPANY
1102477|NITCSH & SON UTILITY CO
1102483|CEDAR BAYOU PRODUCTIONS/CONTRACRTED
1102493|PARK HARBOR IMPROVEMENT ASSOT
1102495|GALILEO MOUNT HOUSTON TX LP
1102496|CHAPMAN PAT (ENTERPRISES)
1102510|AQUA SOURCE
1102533|WESTLAKE
1102535|ARMS OF HOPE
1102579|Inframark-CINCO SOUTHWEST MUD 3 (DAYCARE)
1102590|FAUBION 2
1102594|INGRAM CONCRETE LLC-BRONTE PLANT
1102597|BAYLOR UNIVESITY
1102599|WACO ISD
1102635|TATTOR RD MUD
1102657|QUICKSILVER RESOURCES INC
1102675|REXTAC LLC
1102683|KC RIVER POINTE LP
1102699|TOWN OF ANNETTA-LAKES OF ALEDO
1102701|Allen Boone Humphries Robinson LLP-NORTH FORT BEND WATER AUTHORITY
1102702|MCCRAW CHAPEL WSC
1102705|COASTAL ACRES LLC
1102718|WALDEN ON LAKE HOUSTON
1102726|SUNBELT FRESH WATER SUPPLY DISTRICT
1102731|CITY OF PASADENA EAST PLANT
1102735|DYNEGY MIDSTREAM SERVICES (WARREN)
1102738|MUNICIPAL OPERATIONS & CONSULTING INC-THE BROWN COMPANY
1102740|TEXAS BRINE COMPANY
1102745|BLUE BELL MANOR UTILITY (AREA 3)
1102761|FELCOR AIRPORT UTILITIES LLC
1102787|SOUTHWEST WATER (BEXAR CO)
1102798|EDP WATER-FORT BEND COUNTY MUD 185
1102803|HONEYWELL SPECIALTY MATERIALS
1102815|TEXAS WATER COMPANY-DENTON COUNTY FWSD 10  SAVANNAH
1102821|FRISCO WEST WATER CONTROL AND IMPROVEMENT DISTRICT OF DENTON COUNTY
1102829|BLUE LINE
1102843|CAPROCK STATE PARK
1102851|BWA
1102865|RHYNOCHART ROOFING
1102868|DAVENPORT WATER
1102870|SAN ANTONIO WATER SYSTEM
1102882|GARDENDALE COUNTRY WATER
1102902|TEXAS PARKS & WILDLIFE DEPARTMENT-TEXAS FRESHWATER FISHERIES CENTER
1102907|CULLIGAN MIDLAND
1102921|PHILLIPS 66 COMPANY-FREEPORT TERMINALS
1102937|TEXACO INC
1102941|CULLIGAN WEST TEXAS
1102945|MONARCH
1102946|BRADLURRY WATER SUPPLY
1102951|DUPONT FIRST CHEMICALBAYER INDUSTRIAL PARK
1102953|RHINELAND CO OP GIN
1102958|GEORGIA- PACIFIC GYPSUM LLC-FREDERICKSBURG QUARRY
1102971|BROOKESMITH SUD
1102986|GEL DOMINION
1103008|RIDGLEA COUNTRY CLUB ESTATES
1103009|HARRIS COUNTY MUD 61
1103025|RE DYE MANUFACTURING
1103056|COOKE COUNTY QUARY
1100527|US BRASS (CITY OF ABILENE)
1100528|US BRASS (CITY OF COMMERCE)
1100529|US BRASS (CITY OF PLANO)
1100530|US BUREAU OF ENGRAVING
1100538|US FEDERAL BUREAU OF PRISONS (CITY OF BASTROP)
1100542|US FEDERAL CORRECTIONAL INST (CITY OF BROWNSVILLE)
1100548|UNION OIL OF CALIFORNIA EL PASO
1100561|WACKENHUT CORRECTIONS (CALDWELL COUNTY)
1100580|CATTLE WATERING
1100587|CALPINE CORP-DEER PARK ENERGY CENTER
1100591|ENCORE OPERATIONS
1100599|HIGH MESA WATER CO
1100601|HUSH DETERGENTS
1100605|JUNDAL US STEEL
1100612|LYONDELL BASEL
1100643|Allen Boone Humphries Robinson LLP-WEST HARRIS COUNTY REGIONAL WATER AUTHORITY
1101078|CWA
1101096|SUNSET
1101099|NOS
1101102|NORTH EAST TEXAS MWD
1101105|OTHER MINING FREESTONE COUNTY
1101109|OTHER MINING GAINES COUNTY
1101125|OTHER MINING GRAYSON COUNTY
1101126|OTHER MANUFACTURING GREGG COUNTY
1101128|OTHER MANUFACTURING GRIMES COUNTY
1101133|OTHER MINING HALE COUNTY
1101136|OTHER MANUFACTURING HAMILTON COUNTY
1101167|OTHER MANUFACTURING HOCKLEY COUNTY
1101187|OTHER MANUFACTURING JACKSON COUNTY
1101191|OTHER MANUFACTURING JEFF DAVIS COUNTY
1101195|OTHER MANUFACTURING JIM HOGG COUNTY
1101198|OTHER MINING JIM WELLS COUNTY
1101200|OTHER MINING JOHNSON COUNTY
1101202|OTHER MINING JONES COUNTY
1101203|OTHER MANUFACTURING KARNES COUNTY
1101205|OTHER MANUFACTURING KAUFMAN COUNTY
1101213|OTHER MANUFACTURING KERR COUNTY
1101221|OTHER MANUFACTURING KLEBERG COUNTY
1101224|OTHER MINING KNOX COUNTY
1101227|OTHER MANUFACTURING LAMB COUNTY
1101229|OTHER MANUFACTURING LAMPASAS COUNTY
1101234|OTHER MINING LAVACA COUNTY
1101264|OTHER MANUFACTURING ANDERSON COUNTY
1101266|OTHER MANUFACTURING ANDREWS COUNTY
1101270|OTHER MANUFACTURING ARANSAS COUNTY
1101271|OTHER MINING ARANSAS COUNTY
1101278|OTHER MANUFACTURING AUSTIN COUNTY
1101285|OTHER MINING BASTROP COUNTY
1101291|OTHER MINING BELL COUNTY
1101292|OTHER MANUFACTURING BEXAR COUNTY
1101293|OTHER MINING BEXAR COUNTY
1101306|OTHER MANUFACTURING BREWSTER COUNTY
1101346|OTHER MANUFACTURING COLEMAN COUNTY
1101353|OTHER MINING COLORADO COUNTY
1101357|OTHER MINING COMANCHE COUNTY
1101359|OTHER MINING CONCHO COUNTY
1101368|OTHER MANUFACTURING CROCKETT COUNTY
1101374|OTHER MANUFACTURING DALLAM COUNTY
1101377|OTHER MINING DALLAS COUNTY
1101379|OTHER MINING DAWSON COUNTY
1101384|OTHER MANUFACTURING DENTON COUNTY
1101388|OTHER MANUFACTURING DICKENS COUNTY
1101400|OTHER MANUFACTURING EDWARDS COUNTY
1101404|OTHER MANUFACTURING EL PASO COUNTY
1101423|OTHER MINING FRANKLIN COUNTY
1101431|OTHER MANUFACTURING MAVERICK COUNTY
1101435|OTHER MANUFACTURING MENARD COUNTY
1101453|OTHER MANUFACTURING MOTLEY COUNTY
1101455|OTHER MANUFACTURING NACOGDOCHES COUNTY
1101459|OTHER MANUFACTURING NEWTON COUNTY
1101460|OTHER MINING NEWTON COUNTY
1101464|OTHER MINING NUECES COUNTY
1101465|OTHER MANUFACTURING OCHILTREE COUNTY
1101466|OTHER MINING OCHILTREE COUNTY
1101475|OTHER MANUFACTURING PARKER COUNTY
1101489|OTHER MANUFACTURING RAINS COUNTY
1101492|OTHER MINING RANDALL COUNTY
1101495|OTHER MANUFACTURING REAL COUNTY
1101515|OTHER MANUFACTURING SAN AUGUSTINE COUNTY
1101523|OTHER MANUFACTURING SCHLEICHER COUNTY
1101525|OTHER MANUFACTURING SCURRY COUNTY
1101559|OTHER MANUFACTURING THROCKMORTON COUNTY
1101565|OTHER MANUFACTURING TRAVIS COUNTY
1101568|OTHER MINING TRINITY COUNTY
1101573|OTHER MANUFACTURING UPSHUR COUNTY
1101574|OTHER MINING UPSHUR COUNTY
1101587|OTHER MANUFACTURING WALLER COUNTY
1101622|OTHER MINING YOUNG COUNTY
1101625|OTHER MANUFACTURING ZAPATA COUNTY
1101634|REXTAC LLC
1101635|SCOTT & WHITE
1101642|COWBOY ASPHALT
1101646|DERK HARMSEN CONSTRUTION
1101660|EDP WATER-HARRIS COUNTY MUD 400 EAST
1101662|DECA (COMMISSARY)
1101666|HARRIS COUNTY MUD 406
1101671|N TEXAS MWD
1101676|HUNTER
1101679|PARKWAY CONSTRUCTION
1101680|CHEMICAL SPRAY
1101705|LENNOX PROCUREMENT CO
1101709|BILL MILLER INC
1101713|THE HEARST CORPORATION
1101714|VAN WATERS
1101736|NORTHLAKE
1101743|EXXON CHEMICAL
1101744|MARTIN RESOURCES MGMT
1101750|JINDAL UNITED STATES CORP
1101770|EQUASTONE STEMMONS PLACE
1101798|TRA OF TEXAS CENTRAL REGIONAL  WASTEWTR SYS
1101799|UTRWD REGIONAL WATER TREATMENT PLANT
1101801|FIREWHEEL GOLF PARK
1101816|T JOHNSON IND INC
1101818|MUD 121
1101828|DIRECT ENERGY
1101841|WCTMWD
1101854|HCID 2
1101856|CANADIAN RIVER MWA
1101869|MIDSOUTH SYNERGY-MONTGOMERY TRACE WS
1101883|BYERS ISD
1101892|LAS COLINAS SPORTS CLUB
1101904|DUKE ENERGY
1101915|HAULED AND OTHER USE
1101916|WESTWIND MANOR
1101931|CANYON CREEK COUNTRY CLUB
1101934|BROOK HOLLOW GOLF CLUB
1101944|LIVINGSTON
1101953|J & F UTILITY
1101962|GARWOOD IRRIG COMPANY
1101978|BATTLEGROUND PARTNERS
1101979|ENNIS POWER COMPANY
1101982|DAISY BRAND
1101983|KINGSLEY TOOLS
1102002|CONAGRA FOODS
1102015|SUN WATER SUPPLY CORP
1102041|T & W WATER SERVICE COMPANY-HYDIES CROSSING
1102059|LAKE SOUTH WSC
1102064|WAGNER SERVICES-EMERSON ESTATES MHP
1102071|MUSTANG CREEK ESTATES
1102078|WAGNER SERVICES-FIVE OAKS ESTATES
1102084|GUADALUPE BLANCO RIVER AUTHORITY-WESTERN CANYON
1102087|DAL HIGH WATER SYSTEM
1102090|ARANSAS BAY UTILITIES
1102097|CONCORD ROBBINS WSC LAKESIDE VILLAGE
1102113|FLOWATCH INC-POWDER MILL ESTATES
1102117|EAST HOUSTON UTILITIES INC-TIMBER RIDGE SEC 2
1104201|CHANNELVIEW COGENERATION PLANT
1104206|EAST TEXAS ELECTRIC COOP INC-SAN JACINTO COUNTY PEAKING FACILITY
1104214|LAKEHILLS HOMESTEAD & RV PARK
1104220|BETHEL ASH WSC-OTT PLANT
1104224|CIBOLO CREEK MUNICIPAL AUTHORITY-O.J.R Regional Reclamation Plant
1104229|TRAVIS COUNTY M.U.D. #4
1104236|THE WOODLANDS JOINT POWERS AGENCY MONGOMERY COUNTY MUD 1
1104237|THE WOODLANDS JOINT POWERS AGENCY MONGOMERY COUNTY MUD 2
1104238|DOW / UNION CARBIDE
1104250|TEXAS STERLING
1104254|HUNT COMPANY HOUSING
1104274|TARGET DESIGN
1104278|ROCKSTAR CAPITAL LLC
1104306|HARRIS COUNTY MUD 415
1104319|VOESTALPINE TEXAS LLC
1104328|ROCKWALL GOLF & ATHLETIC CLUB
1104338|PASADENA REFINING SYSTEM, INC
1104340|TDCJ (T.R.HAVINS UNIT)
1104348|BIG OAK MHP
1104349|MONARCH UTILITIES LP-MID-TEX UTILITIES
1104357|MARTIN MARIETTA MATERIALS SOUTHWEST LLC-MEDINA ROCK & RAIL
1104364|HARLINGEN WATERWORKS
1104373|J&B SAUSAG CO
1104386|DEAN WORD COMPANY LTD-LONE STAR QUARRY
1104400|DRU-CHEM INC
1104409|HOOVER ENERGY PECOS COUNTY
1104416|GOLIAD BREWING COMPANY
1104419|SOUTHERN CEMENT FLURRY LLC
1104420|RIVER AGGREGATES LLC
1104422|NEW EARTH IN CNS
1104433|FIESTA WINERY
1104435|CHERRY CRUSHED CONCRETE
1104439|AMERITEX PIPE & PRODUCTS LLC
1104442|HILMY CELLARS
1104447|BINDER SCIENCE LLC
1104450|LCY ELASTOMERS LP
1104451|PEDERNALES CELLARS
1104458|WOODROSE WINERY
1104460|HIXSON LUMBER  SALES-MONTGOMERY CO SITE
1104473|LOS BOTINES WSC
1104481|QUADVEST INC-MAGNOLIA RESERVE WATER PLANT
1104492|RIVER OAKS TRAILER PARK
1104502|LEROYS MHP
1104512|WOLFE AIR PARK
1104522|COUNTRY CROSSROADS MHP
1104528|AQUA TEXAS INC-STONE MOUNTAIN SUBDIVISION
1104547|TEXAS WATER COMPANY-BEACH AND DTENNIS CLUB HOA
1104557|PARK PLACE SOUTHWEST
1104558|GOLDENROD WSC
1104560|Utility Partners LLC-TEJAS LAKES SUBDIVISION
1104562|Inframark-FORT BEND COUNTY MUD 134B
1104566|GULF COAST WATER AUTHORITY TX CITY
1104569|AQUA TEXAS INC-HERITAGE ESTATES
1104578|WHITE OAK MANOR MHP
1104581|AUCOIN & ASSOCIATES-EL DORADO MOBILE HOME COMMUNITY
1104591|BALABAN APARTMENTS 1
1104609|Innovative Utility Operations-J & L TERRY LANE
1104637|WATER DISTRICT MANAGEMENT COMPANY-HARRIS COUTNY MUD 281
1104652|US Water Utility Group-SPRING PRESERVE WATER SYSTEM
1104671|THE LANDINGS AT LAUGHLIN
1104679|CREST WATER COMPANY-THOMAS ACRES
1104681|RANCH OAKS MHP
1104685|MO-RANCH PRESBYTERIAN ASSEMBLY
1104692|CHART HOUSE CONDOMINIUM
1104693|QUADVEST INC-RANCHO SAN VICENTE
1104695|HHSC MEXIA STATE SUPPORTED LIVING CENTER
1104703|SEVEN ESTATES
1104705|VALLEY ESTAES
1104725|CAPRI AND GALL STREETS
1104730|MIDWAY HOMES
1104734|LAKE LIVINGSTON WSC-INDIAN HILLS 2 WATER
1104741|LAKE LIVINGSTON WSC-PINESHADOWS EAST
1104742|CHERRY AVE MOBILE HOME PARK
1104750|PSC Operations-MIDLAND COUNTY FWSD 1
1104759|LAKEVIEW POINTE APARTMENTS
1104763|BIG OAKS RANCHETTE SUBDIVISION
1104766|T & W WATER SERVICE COMPANY-FALLS OF WILDWOOD
1104774|HOLLY OAKS MHP
1104779|BLUE CEREUS, LLC
1104781|UNT FOUTS FIELD
1104803|THE WASH FACTORY CAR WASH
1104818|RENAISSANCE APTS
1104820|CITY PARC
1104822|NREA GARDENS LEASECO LLC
1104823|AC DENTON LLC
1104824|MIDTOWN DENTON
1104834|DENTON CITY APT PARTNERS
1104838|G AND W ENGINEERING
1104843|Hays Utility Service-EAST MONTGOMERY COUNTY MUD 7
1104853|AQUA TEXAS INC - BRUSHY BEND PARK
1104865|BLOUNT FINE FOODS
1104866|PRO FRAC
1104869|CHILDRESS CONSTRUCTION
1104870|CTI BEANMAKER
1104873|ENTERPRISE PRODUCTS-PASADENA PLANT
1104882|MOUNTAIN CREEK HOMEOWNERS 20134-19441
1104889|EASTMEN CHEMICALS TEXAS CITY OPERATIONS
1104890|OIL TANKING TEXAS CITY
1104904|SADDLE OPERATING LLC
1104908|WISENBACK ER
1104910|WHITE WAVE FOOD COMPANY
1104913|BUILDERS FIRST SOURCE
1104915|HILL COUNTRY STEEL
1104922|HAVERLY PML
1104926|SCHEPPS-FOREMOST INC
1104936|ROMSEN TWIN CREEKS, LLC
1104950|BROOK HOLLOW COUNTRY CLUB
1104963|BOYD & MCWILLIAM OPERATING, INC.
1104972|PARK DEPT - PARKSIDE
1104976|AMARILLO INDEPENDENT SCHOOL DISTRICT
1104977|VETERANS HOSPITAL
1104998|TEXAS DEPARTMENT OF CRIMINAL JUSTICE-GLOSSBRENNER UNIT
1105013|OAK HIGH WS
1105026|TEXAS DEPARTMENT OF CRIMINAL JUSTICE WAYNE SCOTT UNIT
1105041|ROCKWATER
1105050|KIRBY MARINE
1105072|HANSON BRICK ATHENS
1105074|DXC TECHNOLOGY SERVICES
1105081|LANDMARK FAB
1105086|AMERISOUTH VI
1105096|UNT UNIVERSITY SERVICES BLDG
1105099|COD 402110 7936
1105101|ROBSON RANCH DENTON HOA
1105102|EDP WATER-HARRIS COUNTY MUD 423
1105132|AIR LIQUIDE ELECTRONIC, LP
1105156|BAPTIST SAINT ANTHONY'S HOSPITAL
1105159|HIDALGO IRRIGATION DISTRICT 9
1105169|A E CUMMINGS INC
1105170|AAA NURSERY SAND & STONE INC-AAA TERRELL DEVELOPMENT
1105187|ALLEN KELLER CO I LLC-ROGER S QUARRY
1105209|ALVARADO SAND AND GRAVEL
1105211|ANDCO
1105213|ANDERSON COLUMBIA CO INC-PLANT 17 - HEBBRONVILLE
1105217|ANGELINA EXCAVATION NACOGDOCHES DIRT PIT
1105221|ARCOSA AGGREGATES INC-KOPPERL 2034
1105233|ARNOLD TRUCKING INC-CJK PIT
1105238|ASPHALT INC LLC-FLORENCE SITE
1105239|ATLAS MINING LLC-THREE RIVERS
1105256|BAR LAZY V PARTINSHIP-SOUTH PIT
1105258|BARNETT CONTRACTING INC-REDDING PIT
1105263|SCHLITTERBAHN WATERPARK
1105274|BEDROCK CALICHE LLC-HICKMAN-PIT
1105276|BEFS FEEDERS INC-OWL PIT EAST
1105278|BENCHMARK MATERIALS
1105280|BERTRAM ARCHITECTURAL STONE
1105283|BLACK JACK ENERGY SERVICES LLC-ANDREWS COUNTY JUMBO HILLS
1104122|LAKESIDE WCID 2-C
1104144|TX LFG ENERGY  LP-BLUEBONNET SITE
1104182|MEADWESTVACO EVADALE MILL
1104184|LUMINANT GENERATION COMPANY LLC-SANDOW STATION NO 4 & 5
1104203|EASTMAN COGENERATION FACILITY
1104210|DOW CHEMICAL COMPANY-OYSTER CREEK UNIT VIII
1104217|CENTURY OAKS ESTATES
1104227|VALERO REFINERY PORT ARTHUR
1104233|CONOCO-PHILLIPS
1104240|TWU
1104241|DISD HIGH SCHOOL PRESS BOX
1104251|ALDI TEXAS LLC
1104253|SALLY BEAUTY SUPPLY 9937
1104276|LAKES AT MADERA
1104293|VALLEY INTERNATION COLD STORAGE
1104301|AMERIPRIDE  SERVICES
1104302|CITY OF JACKSONVILLE TEXAS
1104311|CAROLINA BEVERAGE GROUP-TEXAS QUALITY BEVERAGE
1104326|HARRIS COUNTY UD NO. 14
1104329|LAKE PARK GOLF CLUB
1104341|GI DC RICHARDSON LLC
1104345|CAPITOL AGGREGATES INC-SOLMS QUARRY
1104346|CAPITOL AGGREGATES INC-POTEET SAND PLANT  2
1104351|ST DOMINIC CATHOLIC CHURCH
1104354|Precision Utility LLC-BCFS CHURCH
1104365|AXIALL
1104366|NET POWER
1104372|UNIVERSITY OF TEXAS AT DALLAS
1104374|PINE FOREST MUD
1104377|ENTERPRISE PRODUCTS-WILSON STORAGE
1104379|CLEAN ENERY TEXAS LNG
1104383|PATRIOT OILFIELD SERVICE LLC
1104384|KINDER MORGAN-WHARTON PLANT
1104387|KILLEEN CRUSHED STONE
1104388|KIRBY STONE COMPANY LLC-KIRBY STONE SITE
1104399|SCHMIDT
1104402|HEADWATERS CONCRETE PRODUCTS
1104421|VULCAN MATERIALS COMPANY-PAVERS SUPPY SITE
1104430|BECKER VINEYARD
1104440|WHITENER ENTERPRISES INC
1104461|LANXESS CORP-ORANGE PLANT
1104468|HERITAGE MINISTRIES
1104472|BRAZOS REGIONAL PUA SURFACE WATER ADVANC
1104477|ESPINAZO DEL DIABLO
1104479|U S SILICA COMPANY-CRANE COUNTY PLANT
1104482|NORTH PARK MOBILE HOME PARK
1104501|TEXARKANA MHP
1104508|AQUA TEXAS INC-MORELAND SUBDIVISON
1104513|SECHRIST DUCKERS LLP-AUTUMN SHADOWS MHP
1104532|CITRUS TRAILER PARK (CAMERON CO)
1104533|WHISPERING PINES SUBDIVISON
1104540|DALLAS COUNTY PARK CITIES MUD
1104541|FEDERAL CORRECTIONAL INSTITUTION SEAGOVI
1104543|MUSTANG SUD-MUSTANG SUD COUNTRYVIEW ESTATES
1104552|SHADY OAKS  MHP (ERATH COUNTY)
1104553|HORSEMANS RANCH WS
1104554|BUNKHOUSE WATER SYSTEM
1104564|SI ENVIRONMENTAL LLC-FULSHEAR MUD 3A
1104576|PINE MEADOW MHC
1104593|LAKE HOUSTON STORAGE
1104601|ED LOU MHP 2
1104606|CITY OF HOUSTON DISTRICT 82
1104610|CITY OF HOUSTON WILLOW CHASE
1104611|Precision Utility LLC-SRALLA MHP
1104614|AUCOIN AND ASSOCIATES-TIMBERCREST VILLAGE
1104622|AQUA PURE-TWIN OAKS MHP (HARRIS CO)
1104623|SUGARBERRY PLACE
1104640|HARRIS COUNTY LEADERSHIP ACADEMY
1104641|TIDWELL FOREST NEW SUBDIVISION
1104646|SAN JACINTO RIVER AUTHORITY-HIGHLANDS WATER SYSTEM
1104649|SI ENVIRONMENTAL LLC-HARRIS COUNTY MUD 457
1104659|QUADVEST INC-TEXAS GRAND RANCH
1104665|HOLIDAY TRAV L PARK
1104668|LAKE WHITNEY RV & GOLF
1104672|INTERNATIONAL ALERT ACADEMY
1104674|WINDMILL MOBILE HOME ESTATES
1104677|BROWNS POOL AND PARK
1104680|AQUA TEXAS INC-GARDEN  ACRES  (JOHNSON CO)
1104694|QUADVEST INC-GRANDE SAN JACINTO WS
1104711|JOHNNY ARROYOS RV PARK
1104714|COLDWATER DAIRY
1104726|OAK ACRES MOBILE HOME PARK
1104727|CLAYTON WSC PLANT 2
1104732|HIGHLAND MEADOWS
1104751|ALCOA RAW WATER SOURCE
1104753|NEW HORIZONS RANCH & CENTER
1104756|SUNSET WATER LLC
1104770|T & W WATER SERVICE COMPANY-RIO VISTA SUBDIVISION
1104778|COUNTRY OAKS MHP (TARRANT CO)
1104780|TAYLOR MONUMENT
1104785|THE RIDGE
1104789|HRA UNIVERSITY COURTYARD
1104790|DENTON STATE SCHOOL
1104793|COLLEGE PARK UPTOWN
1104798|WATERFORD AT SPENCER OAKS
1104799|MCKINNEY PARK APARTMENTS
1104807|CORONADO VILLAS APARTMENTS
1104811|MACK PARK APTS
1104821|ASHLI OAKS
1104846|EAST CEDAR CREEK WSC
1104860|EDWARDS WATER LLC
1104875|DOW MITSUI
1104877|BASF - RAW WATER
1104886|MARSHALL ESTATE
1104891|WHITE ENERGY
1104911|DCHD/PGHC
1104921|RESIDENCE NORTH DALLAS ACQUSION LLC
1104924|DALLAS HOUSING AUTH
1104938|INGRAM CONCRETE LLC-JUNCTION PLANT
1104941|PERMIAN EXPRESS LLC
1104943|YES COMPANIES EXP2, LLC
1104944|TENASKA POWER PLANT-HUNTSVILLE TX SITE
1104953|IRON OAKS GOLF CLUB
1104957|BASA RESOURCES INC
1104970|PARK DEPT - 24TH
1104983|CARE INNS OF TEXAS LTD
1104985|HZECHO BULK
1105012|FALL BRANCH ESTATES
1105035|INGRAM CONCRETE LLC-AMARILLO  PLANT
1105045|COMBINED TOP 4 INDUSTRIAL USERS 2018
1105051|THE WOODLANDS JOINT POWERS AGENCY MONTGOMERY COUNTY MUD 6
1105052|THE WOODLANDS JOINT POWERS AGENCY MONTGOMERY COUNTY MUD 36
1105059|NEW VISION MANUFACTURING
1105060|BIOMERICS
1105068|SEISMIC ENERGY
1105075|SWVP TANDEM BLVD LLC
1105089|ALPHA UTILITY
1105094|CORPUS CHRISTI LIQUEFACTION
1105113|AIR PRODUCTS LLC-BAYTOWN 3 FACILITY
1105118|Precision Utility LLC-ARCONIC RTI ENERGY SYSTEMS
1105135|AMERICAN PRODUCT COMPANY (CSM)
1105138|L E S OF TEXAS
1105139|ZOECON INDUSTRIES DALLAS TX FACILITY
1105151|LAKES ON ELDRIDGE NORTH
1105158|SEAGOVILLE FCI
1105178|AGUADO STONE INCORPORATED-ZANE HART QUARRY
1105179|AGUADO STONE INCORPORATED-AGUADO STONE GOLDTHWAITE QUARRY 2
1105183|ALAMO CONCRETE PRODUCTS CO-BASTROP PIT
1105186|ALLEN KELLER CO I LLC-FUHRMANN MINE
1105188|ALLEN KELLER CO I LLC-MOLESWORTH QUARRY
